name,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
apir_ticker,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
30/01/2004,-0.002426769,-0.008315023,0.028639018,-0.007634966,-0.028854094,,,,,,,,,,,,0.014524136,0.0093,-0.0104,,0.006278815,,0.0113
27/02/2004,-0.001217294,0.009306594,0.006389086,-0.009092105,-0.008520511,,,,,,,,,,,,0.027334208,0.0048,0.0053,,0.00228452,,0.0142
31/03/2004,0.002722361,0.007184179,0.041226615,0.012977149,0.009967413,,,,,,,,,,,,0.043820432,0.0059,-0.0033,,0.003438559,,0.016
30/04/2004,0.031976195,-0.000702478,-0.026403692,0.05379569,0.075543244,,,,,,,,,,,,0.030036174,0.0301,0.0629,,0.036395892,,0.0315
31/05/2004,0.014107928,-0.002365847,-0.000298917,0.002437348,0.012024168,,,,,,,,,,,,0.02401438,0.0286,0.0165,,0.021343574,,0.0201
30/06/2004,0.046331681,0.015882936,0.02932421,0.036048526,0.023883158,,,,,,,,,,,,0.067440658,0.0572,0.0438,,0.045918284,,0.059
30/07/2004,-0.045870668,0.030158778,-0.019722002,-0.000342998,0.003333284,,,,,,,,,,,,-0.046812673,-0.0536,-0.0352,,-0.038492944,,-0.0403
31/08/2004,-0.007726595,0.014707637,-0.003533341,0.005904497,-0.006653535,,,,,,,,,,,,-0.014808985,-0.0116,-0.0014,,-0.004223755,,-0.0019
30/09/2004,-0.013938423,-0.001692311,0.022191788,-0.023349302,-0.03014382,,,,,,,,,,,,0.015077501,-0.0037,-0.0179,,-0.007676903,,0.0047
29/10/2004,-0.005368161,0.000145419,0.010060012,-0.031688551,-0.032103031,,,,,,,,,,,,0.004094176,-0.0023,-0.0119,,-0.007325705,,-0.0056
30/11/2004,0.013753477,0.003952178,0.030827218,-0.030878285,-0.038997814,,,,,,,,,,,,0.033660419,0.0216,0.0059,,0.012568983,,0.029
31/12/2004,0.018535649,0.00130816,0.004875638,-0.007019009,-0.008875673,,,,,,,,,,,,0.034513095,0.02,0.0248,,0.027483474,,0.0337
31/01/2005,-0.017143245,0.009113855,0.012194327,0.009402159,0.00222106,,,,,,,,,,,,0.00359239,-0.0209,-0.0054,,-0.011917141,,-0.0062
28/02/2005,0.006053616,0.01224863,0.004146015,-0.018552144,-0.016588465,,,,,,,,,,,,0.014388818,-0.0021,0.0193,,0.006607031,,0.0097
31/03/2005,0.000383357,0.000113356,-0.000000405,0.023765317,0.023753546,,,,,,,,,,,,-0.001762154,0.0098,0.008,,0.006853311,,0.0123
29/04/2005,-0.037311771,0.000512309,-0.01793673,-0.003728367,-0.010894607,,,,,,,,,,,,-0.047194451,-0.0429,-0.0284,,-0.031004509,,-0.0416
