Fund,APIR Code,const,Global Duration,Global Credit,Global High Yield,Currency,EM Debt,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Capital Group Global High Inc Opps H,CIM3839AU,1.9275266810112166,4.060350426473522,-2.999478574670421,7.622097472369821,6.791613349645345,6.646195809666068,Global High Yield,EM Debt,0.064878853168484,70,Capital Group Global High Inc Opps H
PIMCO Capital Securities Wholesale,ETL445AU,-0.4286245078816145,1.8163122723175926,2.712829810840642,3.2608073204147128,1.6116816891707297,1.840165053886199,Global High Yield,Global Credit,0.07622167980526214,108,PIMCO Capital Securities Wholesale
Loomis Sayles Senior Floating Rate Loan,IAM6AU,-0.37291412935472906,-0.7108849510053916,0.11142244897847567,7.080062905991745,0.5474674459783596,1.5652116803328258,Global High Yield,nan,0.07578588194430524,201,Loomis Sayles Senior Floating Rate Loan
Antipodes Asia Income Fund,MAQ782AU,1.7568504389362452,0.15984602772715692,-0.1585605475222175,1.4631368706248322,2.117408349710088,3.3733561763202875,Alpha,nan,0.07367143625277968,156,Antipodes Asia Income Fund
MLC MKUT/MKIS - Diversified Debt,MLC855AU,3.2651447190998217,4.930845904315044,-0.4279405898374652,0.29226070931447107,4.68580172077826,10.111035968467068,Global Duration,nan,0.03206701435620018,194,MLC MKUT/MKIS - Diversified Debt
MLC MultiActive Diversified Fixed Income,IOF96AU,9.184239485758066,6.567678995461092,3.342327639234629,-2.452409245113252,3.607346355157029,8.679244211754755,Global Duration,Global Credit,0.029409832134480726,196,MLC MultiActive Diversified Fixed Income
MLC Wholesale Diversified Debt Fund,MLC839AU,5.6433629548741475,4.853805282874477,-0.38993704898631193,0.09877964865806124,4.825832902079732,10.136644166394179,Global Duration,nan,0.032020943677860014,196,MLC Wholesale Diversified Debt Fund
Perpetual Select Fixed Income Fund,PER252AU,1.6275971678750034,4.044258444170249,-0.04739064150635709,-0.8825267260833496,0.7235786882236485,4.847214242730309,Global Duration,nan,0.041771477928663495,225,Perpetual Select Fixed Income Fund
MLC Wholesale Horizon 1 - Bond,MLC669AU,12.561360395838879,1.9095885397605017,-1.4092986604516504,2.6140506404415373,3.3951072902592885,6.5041517268828875,Alpha,Global High Yield,0.03438194150852735,224,MLC Wholesale Horizon 1 - Bond
BT WE BT Macquarie Diversified Fixed Int,WFS379AU,4.6296278540831715,5.872166253709764,0.7333357789682391,-0.3396261207056652,2.733858220968109,7.137336529719266,Global Duration,nan,0.03580124067392253,236,BT WE BT Macquarie Diversified Fixed Int
