Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
SPDR® S&P/ASX Australian Bond ETF,BOND,8.03404826480248,4.574985394844343,102.1462208057714,-1.4928394150780908,1.1733615863570246,Domestic Duration,Domestic Credit,0.023286122293876815,145,SPDR® S&P/ASX Australian Bond ETF
Vanguard Australian Government Bond ETF,VGB,13.563331939438637,4.883777113604028,157.09412122166958,-2.514714083335969,-0.5050061004143851,Domestic Duration,Domestic Credit,0.0234564525083078,148,Vanguard Australian Government Bond ETF
Russell Inv Australian Semi-Govt Bd ETF,RSM,2.411203977810082,2.910756377415997,20.92760225531833,-1.1659320924867795,0.8621401319695063,Domestic Duration,Domestic Credit,0.017972192620201787,149,Russell Inv Australian Semi-Govt Bd ETF
Russell Inv Australian Government Bd ETF,RGB,4.3174687104854526,0.6350665021383827,49.1481482854673,-1.9552666026083432,0.8318020508625665,Domestic Duration,nan,0.03806242979044525,149,Russell Inv Australian Government Bd ETF
iShares Core Composite Bond ETF,IAF,11.594984609775265,7.584605254684766,136.57447985286674,-1.118720345099072,0.6056417429248874,Domestic Duration,Domestic Credit,0.019189170521477634,149,iShares Core Composite Bond ETF
ICG Global Loan Australia C,PIM8592AU,-1.0532399974811453,0.04097337926748804,-0.08826620067556758,3.3150675797949667,1.1287198592376124,Domestic FRN,nan,0.05551907936887042,36,ICG Global Loan Australia C
ICG Global Loan Australia B,PIM9552AU,-0.21005033164632692,0.2683473843182644,-0.20195519974598902,2.5762581240057107,1.31469147945682,Alpha,nan,0.05510345513726768,37,ICG Global Loan Australia B
Ares Global Credit Income A,HOW4476AU,2.13836323683577,1.5584882060702963,2.937120622564325,1.9539558318328094,4.085992440627881,Domestic Duration,nan,0.03195957355691963,51,Ares Global Credit Income A
Mutual High Yield,PRM8798AU,4.925494109939671,2.1367981001694383,-0.8197627251167496,3.1577199532094324,-0.5315022394321369,Domestic FRN,nan,0.035609061872979485,66,Mutual High Yield
Bentham Wholesale Syndicated Loan NZD,HOW2NZ,-1.420867773698,2.6385898048269327,-0.24346368280423134,6.990395207618843,3.4291572079265027,Domestic FRN,Domestic Credit,0.05544581360291155,131,Bentham Wholesale Syndicated Loan NZD
AIMS Commercial Mortgage Ord Units,MCK8AU,8.25740183129202,-0.29421822649805845,1.0720610030383528,-0.352075764467226,-0.09053814652572356,Alpha,nan,0.027177865678928586,212,AIMS Commercial Mortgage Ord Units
AIMS Commercial Mortgage Wholesale,MCK5AU,29.183084619067873,7.227196582376634,0.4345275390053483,-7.19580631375638,2.4471988471899726,Domestic Credit,nan,0.021774991757726035,243,AIMS Commercial Mortgage Wholesale
AIMS Commercial Mortgage Retail,NAB2AU,6.778243625567925,-0.5078969073183645,0.9408829816549257,-0.20096017921932777,-0.04248949238414353,Alpha,nan,0.029264429839587505,241,AIMS Commercial Mortgage Retail
Schroder Real Estate Debt,SCH626AU,20.235491753583982,1.4409974485860144,0.9685127891040138,-0.7574491917907142,0.39055837039050784,Alpha,nan,0.031146396651458453,53,Schroder Real Estate Debt
Macquarie Inflation Linked Bond,MAQ52AU,2.0463546193481923,-1.055876861214678,17.71612852697463,2.651612182072081,2.7576428693930315,Domestic Duration,Domestic FRN,0.050734766942376344,244,Macquarie Inflation Linked Bond
Vanguard Australian Infl-Lnkd Bond Idx,VAN64AU,-0.5270054404429779,1.090852148621148,21.554232396388453,2.788544724368919,2.541431441426454,Domestic Duration,Domestic FRN,0.0484845099031327,148,Vanguard Australian Infl-Lnkd Bond Idx
Ardea Australian Inflation Linked Bond,HOW62AU,0.7797806909061005,0.7106112473327961,18.613573298093964,3.034998450544522,1.8693482358980427,Domestic Duration,Domestic FRN,0.04947593283502154,173,Ardea Australian Inflation Linked Bond
