Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
SPDR® S&P/ASX Australian Bond ETF,BOND,-2.2897180987115915,2.476540393386934,143.96904753481095,-0.39781055295098383,2.2030908718992723,Domestic Duration,nan,0.023286122293876815,145,SPDR® S&P/ASX Australian Bond ETF
Vanguard Australian Government Bond ETF,VGB,-6.9324735845980605,1.9318097628266948,932.1184005873098,-3.3490866212815007,-0.4972851475662158,Domestic Duration,nan,0.0234564525083078,148,Vanguard Australian Government Bond ETF
Russell Inv Australian Semi-Govt Bd ETF,RSM,-0.6339190485138347,1.9775984333215517,20.860290527185676,-0.751505167945784,0.9458735291686078,Domestic Duration,nan,0.017972192620201787,149,Russell Inv Australian Semi-Govt Bd ETF
Russell Inv Australian Government Bd ETF,RGB,0.713996846396783,-0.5354482077982968,50.40605983586785,-1.4972161302107934,0.9467107497076435,Domestic Duration,nan,0.03806242979044525,149,Russell Inv Australian Government Bd ETF
iShares Core Composite Bond ETF,IAF,-5.624323757373616,6.895161917363793,299.7815895348807,1.9222948960452537,2.061715463700931,Domestic Duration,Domestic Credit,0.019189170521477634,149,iShares Core Composite Bond ETF
ICG Global Loan Australia C,PIM8592AU,-1.8171550776306138,-0.20459155211657337,-0.20260433089827676,3.230274483251296,1.0621159260985684,Domestic FRN,nan,0.05551907936887042,36,ICG Global Loan Australia C
ICG Global Loan Australia B,PIM9552AU,-0.9199759159029047,0.020551678028015375,-0.30472206688773723,2.470322652944369,1.2358629724186094,Alpha,nan,0.05510345513726768,37,ICG Global Loan Australia B
Ares Global Credit Income A,HOW4476AU,0.826030356995514,0.9725493337051168,2.6079970830491312,2.1118829381956754,4.197455863570921,Domestic Duration,nan,0.03195957355691963,51,Ares Global Credit Income A
Mutual High Yield,PRM8798AU,3.1762544789142435,1.3924821815547936,-1.1542129367137857,3.679401237629761,-0.4465064253559895,Domestic FRN,nan,0.035609061872979485,66,Mutual High Yield
Bentham Wholesale Syndicated Loan NZD,HOW2NZ,-2.846582696637766,2.22772067301516,-0.43023081983940203,7.14659110145239,3.4328923636344295,Domestic FRN,nan,0.05544581360291155,131,Bentham Wholesale Syndicated Loan NZD
AIMS Commercial Mortgage Ord Units,MCK8AU,2.9957639252514374,-2.5428446660690214,0.7309114620622901,2.0850851487139233,-0.7680808183711468,Alpha,nan,0.027177865678928586,212,AIMS Commercial Mortgage Ord Units
AIMS Commercial Mortgage Wholesale,MCK5AU,12.761694125684715,-2.5685883368167093,-1.2760494625813368,4.24035894266315,-0.370037086179847,Domestic FRN,nan,0.021774991757726035,243,AIMS Commercial Mortgage Wholesale
AIMS Commercial Mortgage Retail,NAB2AU,2.3461980584584867,-2.2636767931343513,0.6987997276359983,1.7381067534687673,-0.571153831998651,Alpha,nan,0.029264429839587505,241,AIMS Commercial Mortgage Retail
Schroder Real Estate Debt,SCH626AU,11.718879368998405,-0.5328111357113782,-0.014030017273626712,0.07212239447300618,0.6452762039594813,Alpha,nan,0.031146396651458453,53,Schroder Real Estate Debt
Macquarie Inflation Linked Bond,MAQ52AU,-0.23631831809492512,-1.953242783147042,17.51809951295306,3.6389285264486175,2.4649689115382354,Domestic Duration,Domestic FRN,0.050734766942376344,244,Macquarie Inflation Linked Bond
Vanguard Australian Infl-Lnkd Bond Idx,VAN64AU,-2.111395084353895,0.580982231633321,21.041853031148253,2.958377872734082,2.548974371896634,Domestic Duration,Domestic FRN,0.0484845099031327,148,Vanguard Australian Infl-Lnkd Bond Idx
Ardea Australian Inflation Linked Bond,HOW62AU,-0.8642612500251787,0.023790900025375282,18.25817566805047,3.3893057473479287,1.7245815208567228,Domestic Duration,Domestic FRN,0.04947593283502154,173,Ardea Australian Inflation Linked Bond
Mercer Australian Inflation Plus,MIN31AU,0.9833378334726972,-1.2741037257761054,0.9177363882542844,1.9784300079024055,-2.9748312283131644,Alpha,nan,0.03595295803025306,174,Mercer Australian Inflation Plus
Perpetual WFIA-Perpetual Diversified Inc,PER49AU,-3.2739443574919918,1.5429111018241823,0.6869195345054259,8.837685235058727,4.0895062463888125,Domestic FRN,nan,0.027419410436414323,189,Perpetual WFIA-Perpetual Diversified Inc
WealthFocus Perpetual Diversified Income,PER284AU,-2.9748375723592146,0.5456995126934783,1.1638926704216543,11.683186911583267,5.201359693866716,Domestic FRN,nan,0.0289296777392394,224,WealthFocus Perpetual Diversified Income
Perpetual Diversified Income,PER26AU,-0.9597213669573608,0.7313010545890664,1.3141781908903296,11.794356879000473,5.395068082551419,Domestic FRN,nan,0.028778372695199835,226,Perpetual Diversified Income
Perpetual Credit Income,PER263AU,-0.009133771089481534,0.8726917771553372,0.9384210401647929,9.156114023709689,5.112469782221455,Domestic FRN,nan,0.028453060680644692,237,Perpetual Credit Income
