Fund,APIR Code,const,Global Duration,Global Credit,Global High Yield,Currency,EM Debt,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
T. Rowe Price Global High Income I,ETL793AU,-3.3267702500278813,6.267002173598609,0.6921332684971644,9.653274428428631,-1.1741145695705104,-0.212216005117792,Global High Yield,Global Duration,0.050191483997345535,51,T. Rowe Price Global High Income I
Capital Group Global High Inc Opps H,CIM3839AU,-0.20181538716806746,3.9232918899773717,-2.8426112900094465,7.432177623982469,6.790610734788537,6.540880194977324,Global High Yield,EM Debt,0.064878853168484,70,Capital Group Global High Inc Opps H
PIMCO Capital Securities Wholesale,ETL445AU,-1.497179941008997,1.7960253448422818,2.7611897938990726,3.237167375066527,1.5986402601417105,1.7906176200696782,Global High Yield,Global Credit,0.07622167980526214,108,PIMCO Capital Securities Wholesale
Loomis Sayles Senior Floating Rate Loan,IAM6AU,-2.7460531776450408,-0.5352974719456692,0.39533585061497406,7.129787674523269,0.28778417613853896,1.2772805300485217,Global High Yield,nan,0.07578588194430524,201,Loomis Sayles Senior Floating Rate Loan
Antipodes Asia Income Fund,MAQ782AU,0.673312868886733,0.19197183850401517,-0.12034970962467237,1.4623005542756757,2.075456912071757,3.2913993773029104,Alpha,nan,0.07367143625277968,156,Antipodes Asia Income Fund
MLC MKUT/MKIS - Diversified Debt,MLC855AU,-2.3020724984698497,5.289935930091352,0.1392267022982344,0.472334990682793,4.2525205387645375,9.557429355634286,Global Duration,nan,0.03206701435620018,194,MLC MKUT/MKIS - Diversified Debt
MLC MultiActive Diversified Fixed Income,IOF96AU,3.308655153934485,7.593126994919579,4.265991763498439,-2.309748023038445,3.1839306190148817,8.519908294326079,Global Duration,Global Credit,0.029409832134480726,196,MLC MultiActive Diversified Fixed Income
MLC Wholesale Diversified Debt Fund,MLC839AU,-0.0523566492936772,5.386720200013746,0.17470772473740517,0.4008301747992448,4.2971322176080555,9.58850390876363,Global Duration,nan,0.032020943677860014,196,MLC Wholesale Diversified Debt Fund
Perpetual Select Fixed Income Fund,PER252AU,-3.3971785197222077,4.21452721957654,0.5029347119787474,-0.8056814573105877,0.3389206848039334,4.3712071148571905,Global Duration,nan,0.041771477928663495,225,Perpetual Select Fixed Income Fund
MLC Wholesale Horizon 1 - Bond,MLC669AU,-2.0961075375795777,3.0468816280352393,0.12552320653545812,3.475689407855348,2.663413188071548,6.48433817479355,Global High Yield,Global Duration,0.03438194150852735,224,MLC Wholesale Horizon 1 - Bond
