,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
ACQ4764AU,Acorn Capital Micro Opportunities Ord,0.0034,0.8274,0.257,0.9413,0.0331,-0.1057,0.5948,5.0387,1.2071,2.9685,0.1884,-0.3334
NCL0002AU,Mercer Passive Australian Share,-0.0006,1.0265,0.0025,0.0103,0.0279,0.0315,-1.0124,64.3444,0.1189,0.4063,1.9992,0.8241
GTU0133AU,Invesco Wholesale Australian Share M,-0.0003,1.0328,0.1121,0.0049,0.009,0.1082,-0.2488,32.4048,2.7468,0.0754,0.2404,1.7608
PIM2087AU,Wheelhouse Australian Enhanced Income,-0.0018,1.0172,0.0016,0.124,0.0496,0.0194,-1.6375,33.4655,0.0365,1.9465,1.365,0.3065
WWM0001AU,Wentworth Williamson,0.0019,0.4606,0.0714,0.3858,-0.0892,-0.3052,0.6349,5.5695,0.5795,2.6376,-1.0353,-1.4415
ECL5380AU,Ellerston Micro Cap Client,0.0019,0.6972,-0.1587,0.6869,0.0507,-0.4162,0.4881,6.143,-1.0919,2.9843,0.3807,-1.9028
LYN3596AU,Lanyon Investment Fund,0.0096,0.4367,0.2286,0.2841,-0.1274,0.6317,2.9774,5.4918,2.0828,2.0631,-1.3869,3.5234
HAY1035AU,Hayborough Opportunities,0.0064,0.6858,-0.0333,0.606,0.2788,0.0034,1.6438,6.2716,-0.2121,2.5874,2.1344,0.0147
ECL6748AU,Ellerston Australian Emerging Leaders,0.0005,0.9298,-0.1769,0.5567,0.1882,-0.3579,0.1003,7.5126,-0.998,2.0978,1.2349,-1.3362
MCM3327AU,Meme Private Investment Trust Ordinary,-0.0098,0.7863,0.04,0.5822,0.0937,-0.6411,-1.2528,3.4915,0.1344,1.2715,0.3825,-1.4333
JBW4991AU,Yarra Australian Smaller Companies,0.0005,0.9903,-0.0837,0.5284,-0.1525,0.0354,0.2065,13.0937,-0.7907,3.2526,-1.6468,0.2292
MPL1039AU,Maple-Brown Abbott Australian Value Opps,0.0053,0.7475,0.1871,0.1367,0.0312,-0.5317,2.1955,10.8343,1.9071,0.9446,0.3644,-3.7085
CTS9748AU,The TAMIM Australia All Cap,0.0051,0.9573,0.1797,1.0186,0.2774,-0.5662,0.9071,6.9367,0.9261,4.2223,1.744,-1.833
CTS8008AU,The TAMIM Australia Small Cap Income,0.0048,1.0693,0.1964,0.6893,0.0543,-0.4038,1.019,8.9893,1.1851,3.3187,0.4042,-1.4831
ETL2825AU,SGH Medical Technology,-0.0053,0.7432,-0.278,0.3512,-0.3514,-0.0963,-1.1396,5.6135,-1.5,1.2349,-2.1679,-0.3564
ETL1293AU,L1 Capital Catalyst Daily,0.0075,0.88,0.2704,0.4963,0.2207,-0.476,2.1817,9.146,2.0096,2.4025,1.8735,-2.4108
TIM4706AU,TRUE Infrastructure Fund,0.0018,0.0741,-0.0464,-0.1068,0.0495,0.0668,0.7823,1.1487,-0.5547,-0.8003,0.6542,0.5281
WHT2716AU,Firetrail Australian Small Companies M,0.008,1.0085,0.0797,0.917,-0.0496,-0.0784,2.148,10.5981,0.6157,5.6848,-0.4805,-0.3892
ETL7964AU,Elston Australian Emerging Leaders A,0.0056,1.1065,-0.3983,0.9663,-0.3852,0.1314,0.8634,6.0039,-1.5441,2.4409,-1.707,0.3494
MIC1962AU,Microequities Takeovers and Oppos,0.005,0.7677,-0.0983,0.7228,0.0592,-0.0481,0.9232,4.9385,-0.4788,2.2868,0.3502,-0.1558
CIP0006AU,CI Endowment,-0.0005,0.82,-0.1613,0.0134,0.0807,-0.0162,-0.4954,30.647,-4.0911,0.2871,2.7927,-0.2389
ETL1574AU,Dynamic Australian Equities,0.0006,0.9935,0.0282,0.0586,0.0023,0.0417,0.841,49.2682,0.9769,1.3555,0.0917,0.955
WPC0911AU,Perennial Microcap Resources Trust,0.0058,0.7451,0.6958,1.4457,-0.0425,-0.0598,0.7475,3.4771,2.2675,3.1461,-0.1612,-0.129
SPC2070AU,Surrey Australian Equities Fund,-0.0016,0.8964,0.067,0.7995,0.0565,-0.0927,-0.6126,13.539,0.7263,6.9827,0.7498,-0.5898
WPC1345AU,Perennial Value Emerging Industrial Tr,-0.0008,0.8071,-0.1392,0.9605,-0.3783,-0.0617,-0.1258,4.7755,-0.5056,2.4166,-1.7438,-0.1222
PIM5119AU,Tanarra LTV II Foundation,-0.0042,0.7503,0.1335,0.4693,-0.3156,0.2388,-0.7817,5.4363,0.6714,1.5649,-1.7883,0.6437
BSC0951AU,BetaShares Australian Faith-Based Ldrs,0.0025,0.9126,-0.4662,0.3322,-0.0862,0.1999,1.4941,21.6309,-6.7831,3.3481,-1.5907,1.5865
ETL7425AU,Quest X20 Australian Equities,0.0046,0.9367,-0.1941,0.4267,0.0181,-0.4855,2.2033,17.4239,-2.5419,3.7301,0.2649,-3.4822
BGL0005AU,iShares Wholesale Australian Eq Idx E,0.0025,0.9051,0.0603,-0.0738,0.0094,-0.1663,0.4916,6.648,0.313,-0.3138,0.0762,-0.5056
ALP1778AU,Aliwa Alpha,0.0161,0.5962,0.6982,1.6572,-0.0729,0.2724,1.7415,2.5296,2.1491,4.0685,-0.2753,0.5099
AAP5633AU,Ausbil Australian Emerging Leaders IC,0.0044,0.982,0.1552,0.4926,0.1278,-0.1644,0.4637,3.6045,0.4265,0.8644,0.3982,-0.3012
ETL8439AU,EQT Tax Aware Australian Equity,0.001,0.9531,-0.0147,-0.0235,-0.0489,-0.1096,1.1067,40.3508,-0.4607,-0.5809,-1.8417,-2.1135
WFS8899AU,Platypus Australian Equity MPS,0.0041,1.1649,-0.3712,0.1186,-0.1152,0.8415,1.2449,12.1468,-2.6069,0.6191,-1.0423,3.1085
LSP6493AU,LSN Emerging Companies,0.0078,1.0008,-0.0288,0.6185,0.0039,-0.0412,2.2097,11.3096,-0.1956,2.8819,0.0341,-0.149
PER9955AU,Perpetual Australia Share S,0.0008,0.7882,0.0684,0.1692,0.0695,0.0817,0.3065,10.5948,0.5685,1.0644,0.7898,0.3711
PER8590AU,Perpetual SHARE-PLUS Long-Short S,0.0042,0.9043,0.2759,0.4164,0.2776,0.1096,1.4644,11.6685,2.2009,2.5137,3.0284,0.4776
FHT0540AU,The Elvest Fund,0.0119,0.7873,-0.6441,-0.2279,-0.0595,-0.3024,3.1375,7.2251,-3.9811,-1.0003,-0.4734,-0.9687
NCP0003AU,Northcape Capital Core Australian Shares,0.0048,0.9522,-0.0746,-0.0027,-0.0602,-0.1689,2.4677,18.9552,-1.1858,-0.035,-1.3587,-1.404
ECL5651AU,Ellerston 2050 Wholesale,,,,,,,,,,,,
SSB0007AU,Martin Currie Select Opps X,0.0041,0.9474,0.252,0.2749,-0.0965,-0.2274,2.8008,24.743,5.256,4.575,-2.8551,-2.4852
TOI6244AU,Baza High Conviction Fund A,-0.0045,0.916,0.3581,0.8397,-0.3683,0.0977,-0.8189,5.8679,1.6213,2.4477,-1.9293,0.3006
VPC9697AU,VP Capital Fund I,0.01,0.6378,0.0206,0.122,0.4025,-0.2294,1.5419,3.9676,0.0902,0.4223,2.1474,-0.612
ELM9093AU,ELMRI ANZ Conviction Fund,0.0026,0.9652,-0.5161,0.2169,0.0005,0.2383,0.6738,10.0876,-3.8505,1.3027,0.0042,1.105
MAA3828AU,MA Equity Opportunities,0.001,0.9219,-0.3435,0.6534,0.0229,-0.1354,0.2165,6.8949,-1.929,2.2729,0.1578,-0.5112
FSF0453AU,CFS FC-Acadian Geared Australian Equity,-0.0008,1.8838,0.0949,0.0028,-0.0231,0.284,-0.5327,48.4064,1.9671,0.047,-0.6745,3.0274
SBC0817AU,UBS Australian Share Fund,0.0021,0.983,0.0679,-0.0134,-0.0237,-0.1383,3.2071,57.3205,3.2053,-0.5145,-1.5712,-3.349
PER0039AU,Perpetual WFIA-Perpetual Small Coms,0.0036,0.8585,0.0842,0.651,-0.03,-0.0569,3.1878,28.5983,2.2713,14.3087,-1.1351,-0.7871
AMP0018AU,AMP FLI-AMP Equity,0.001,0.9821,-0.0498,-0.0887,0.0017,-0.0317,2.143,79.2184,-3.2513,-4.7219,0.1578,-1.0621
ASC0001AU,Smallco Investment,0.0064,0.88,0.0563,0.6107,0.0252,-0.0052,3.2957,17.0546,0.883,7.8094,0.5561,-0.0415
BNT0101AU,Hyperion Small Growth Companies,0.0058,0.9149,0.0299,0.5542,-0.0016,0.4548,2.6335,15.7256,0.4157,6.2849,-0.0311,3.2466
MAQ0213AU,Macquarie Wholesale Australian Equities,0.0029,1.0064,-0.0637,0.0022,-0.0075,0.0284,6.4009,83.9923,-4.2994,0.1199,-0.7074,0.9827
ADV0045AU,Advance Australia Shr Multi-Blend W,0.0015,0.9689,-0.0039,0.0294,0.0001,-0.0072,4.374,104.8523,-0.3449,2.0999,0.0164,-0.3231
ADV0013AU,Maple-Brown Abbott Aus Shr Retail,0.0012,0.8922,0.1365,-0.0765,-0.0229,-0.2023,1.9298,53.7675,6.6574,-3.0408,-1.5692,-5.0649
BAR0814AU,BlackRock Advantage Australian Equity,0.0014,1.0145,-0.0323,-0.008,0.0204,0.0618,5.0088,132.8969,-3.4298,-0.689,3.0398,3.362
BGL0034AU,iShares Australian Equity Index,0.0016,0.9928,-0.0037,-0.0017,0.004,-0.0151,11.443,264.3605,-0.8004,-0.304,1.2067,-1.6728
AAP0104AU,Ausbil Australian Emerging Leaders,0.0021,1.0369,-0.0401,0.5927,0.1394,-0.0706,1.8508,35.1489,-1.1005,13.2579,5.3751,-0.9939
HOW0019AU,Alphinity Australian Equity,0.0019,0.9673,0.0132,0.0074,0.0091,0.0405,4.6665,87.5065,0.9702,0.4412,0.932,1.5231
HOW0020AU,WaveStone Australian Share,0.0021,0.996,-0.0813,0.0551,0.0174,0.0003,3.9987,71.8769,-4.7484,2.6225,1.4247,0.0104
FAM0101AU,Celeste Australian Small Companies,0.0027,0.8562,0.1832,0.6097,-0.0874,0.0869,1.6892,20.0974,3.4813,9.4441,-2.3329,0.8473
PER0029AU,Perpetual WFIA-Perpetual Aus Shr,0.0017,0.9208,0.0156,0.0296,-0.0125,-0.0643,2.4108,47.9939,0.6584,1.0197,-0.7411,-1.3912
PER0049AU,Perpetual Australian Share,0.0025,0.9247,0.0123,0.0282,-0.0124,-0.067,3.4888,47.6775,0.5145,0.9593,-0.7299,-1.435
LAZ0006AU,Lazard Australian Equity I,0.0023,0.8128,0.2625,0.106,-0.0114,-0.1386,2.4701,32.5542,8.5114,2.8004,-0.5176,-2.3049
LAZ0005AU,Lazard Select Australian Equity I Cl,0.0034,0.7546,0.2935,0.2224,-0.0013,-0.2586,2.5457,21.1058,6.6461,4.1039,-0.0399,-3.0037
MAQ0288AU,Macquarie True Index Australian Shares,0.0018,0.9934,-0.0062,-0.0019,0.0025,-0.0133,11.1592,233.6018,-1.1794,-0.2983,0.673,-1.2959
SST0004AU,State Street Australian Equities Idx Tr,0.0017,0.99,-0.0046,-0.0192,0.0014,-0.0072,11.1965,239.9042,-0.8958,-3.0727,0.3841,-0.7238
FSF0418AU,CFS FC Inv-Lazard Select Aus Equity,0.0019,0.8363,0.1354,0.0015,-0.0547,-0.2436,1.7715,29.2961,3.8392,0.0349,-2.179,-3.5441
RFA0818AU,Pendal Australian Share,0.0024,0.9471,-0.0227,-0.0201,0.0033,-0.0264,5.4268,81.9269,-1.5871,-1.148,0.3267,-0.9493
RFA0025AU,Pendal Horizon Sustainable Aus Shr,0.0017,0.9657,-0.0567,0.0133,0.0196,-0.0326,3.1843,68.1427,-3.2389,0.6212,1.5749,-0.9543
AMP0828AU,Macquarie Australian Enhanced Idx Shr B,0.0001,0.9768,0.0056,-0.052,-0.0022,0.0277,0.1618,75.4902,0.3519,-2.6515,-0.1954,0.8874
INT0022AU,Morningstar Australian Shares Fund A,0.0016,0.9224,0.004,0.1331,-0.025,0.0575,2.4897,53.4965,0.1872,5.0938,-1.6502,1.3851
IML0001AU,Investors Mutual WS Aus Smaller Co,0.0033,0.6941,0.1076,0.4614,-0.006,-0.0848,2.5701,20.1155,2.5234,8.8237,-0.1985,-1.0205
AMP0257AU,Macquarie Australian Enhanced Idx ShareA,0.0015,0.987,-0.008,-0.0232,0.0034,-0.0004,8.932,214.5137,-1.4147,-3.3209,0.8503,-0.0374
STL0101AU,Sandhurst IML Industrial Share,0.0013,0.755,0.2121,0.0311,0.0149,0.0062,1.5088,32.1443,7.3091,0.8735,0.72,0.1098
PER0048AU,Perpetual Smaller Companies,0.0042,0.8586,0.0842,0.6519,-0.0294,-0.0579,3.7243,28.609,2.2702,14.3333,-1.115,-0.8011
PER0116AU,Perpetual ESG Australia Share,0.0039,0.8924,0.2505,0.248,-0.0334,0.1074,3.5276,30.0278,6.8234,5.5071,-1.2774,1.5013
MAQ0088AU,Macquarie Small Companies,0.0056,0.9545,-0.0843,0.8198,0.0293,-0.0155,4.0842,25.3263,-1.6198,12.9382,0.9224,-0.1744
JBW0007AU,Yarra Emerging Leaders Fund (Direct),0.0008,0.9592,-0.0564,0.536,0.1092,-0.1635,0.6804,30.5609,-1.4547,11.2691,3.9568,-2.1639
JBW0011AU,Yarra Leaders Fund,0.0018,1.0172,-0.0444,-0.1252,0.0035,-0.1314,2.4882,53.4962,-1.8917,-4.3462,0.2065,-2.8713
JBW0009AU,Yarra Australian Equities Fund,0.0022,1.0088,-0.0377,-0.073,0.0114,-0.1447,3.0099,52.4662,-1.5859,-2.507,0.6764,-3.1266
FSF0485AU,CFS Australian Share,0.0017,0.9532,0.0145,-0.0176,-0.0218,-0.0636,4.871,102.4164,1.2634,-1.2491,-2.668,-2.8375
FSF0502AU,CFS Australian Small Companies,0.0026,0.918,0.0027,0.6145,0.0146,-0.1304,2.8686,37.9626,0.0914,16.6809,0.6859,-2.2325
MPL0002AU,Maple-Brown Abbott Australian Equity,0.0027,0.9123,0.1518,-0.0637,-0.0408,-0.1374,3.7213,48.0656,6.4741,-2.2135,-2.4437,-3.0074
SCH0101AU,Schroder WS Australian Equity Fund - WC,0.0032,0.9206,0.0861,-0.0257,-0.0588,-0.1118,5.6802,60.6748,4.5917,-1.1187,-4.4045,-3.0609
SCH0002AU,Schroder Australian Equity Fund - PC,0.0035,0.9206,0.0862,-0.0252,-0.0588,-0.1106,6.0274,60.4059,4.58,-1.09,-4.3884,-3.0145
NRM0007AU,Aggressive 95,,,,,,,,,,,,
SSB0125AU,Martin Currie Sust Eq A,0.0016,0.9954,0.0542,-0.0277,-0.0039,-0.0137,3.0557,72.6759,3.2033,-1.3332,-0.3221,-0.4143
FPS0006AU,Fiducian Australian Shares,0.0018,0.9691,-0.0554,0.0291,-0.0021,-0.0538,4.4364,88.3721,-4.0931,1.7486,-0.2133,-2.0376
FPS0008AU,Fiducian Australian Smaller Co Shares,0.0029,0.9237,-0.0285,0.6732,0.0723,-0.0935,2.6927,32.2583,-0.8046,15.5133,2.8718,-1.3569
FSF0014AU,CFS MIF-Australian Share,0.0013,0.996,-0.0895,0.0421,0.012,0.0837,1.7036,47.5069,-3.4552,1.3236,0.6533,1.658
WFS0022AU,BT Investor Choice Australian Growth Shr,0.0019,0.9555,-0.0136,-0.0542,-0.0004,-0.0161,4.175,80.2311,-0.9266,-3.0013,-0.0366,-0.5616
PER0011AU,WealthFocus Perpetual Industrial Share,0.0012,0.8908,0.159,0.0216,0.0138,-0.0468,1.3759,39.2359,5.6687,0.628,0.6937,-0.8556
PER0046AU,Perpetual Industrial,0.0019,0.8912,0.1587,0.0218,0.0147,-0.0464,2.1834,39.2208,5.6551,0.6329,0.7337,-0.8473
FSF0035AU,CFS Developing Companies,0.0039,0.7771,0.0977,0.6833,-0.0155,-0.152,2.3491,17.7181,1.8039,10.2804,-0.4023,-1.4396
CNA0811AU,Invesco WS Aus Share,0.0006,1.0174,0.061,0.0155,-0.001,0.2227,0.9063,59.1228,2.4368,0.5101,-0.0633,5.2634
FSF0076AU,First Sentier Aus Share Growth Fund,0.0014,0.9713,0.1872,0.0573,0.002,0.2696,1.5599,42.0931,6.566,1.6396,0.0968,4.8529
AAP0103AU,Ausbil Australian Active Equity,0.0027,1.0467,-0.0645,-0.0364,0.0319,-0.0779,4.8326,69.7469,-3.4776,-1.601,2.4167,-2.1557
BTA0021AU,BT Aus Share Retail,0.0017,0.9469,-0.0214,-0.0181,0.0031,-0.0249,3.8529,82.1108,-1.5039,-1.034,0.305,-0.8971
BTA0055AU,Pendal Australian Equity,0.0024,0.9491,-0.0208,-0.0217,0.0014,-0.0199,5.4993,83.3794,-1.4799,-1.2569,0.14,-0.7269
PER0028AU,Perpetual WFIA-Perpetual Indl Shr,0.0011,0.8895,0.1584,0.0206,0.0142,-0.044,1.2999,39.4845,5.6912,0.6044,0.7164,-0.8121
CRS0003AU,SGH Ex-20 Australian Equities A,0.0011,0.8806,-0.0783,0.1644,0.0092,0.1694,1.3107,39.9991,-2.8802,4.9265,0.4756,3.1956
IML0003AU,Investors Mutual WS Future Leaders,0.003,0.6927,0.1207,0.4193,0.0029,-0.1291,2.4682,21.7191,3.0637,8.6743,0.1034,-1.6807
IML0004AU,Investors Mutual All Industrials Share,0.0014,0.7583,0.21,0.0304,0.0114,0.005,1.5546,32.4543,7.2756,0.8596,0.5546,0.0882
PMC0101AU,PM Capital Australian Companies,0.0027,0.847,0.3165,0.1416,-0.0762,0.0334,1.8493,21.6056,6.5351,2.3835,-2.2115,0.354
BNT0003AU,Hyperion Australian Growth Companies,0.0037,0.9924,-0.1377,0.2194,-0.0382,0.4016,2.2091,22.2584,-2.5004,3.2477,-0.9752,3.7416
PWA0001AU,BlackRock Equity,-0.0,0.996,-0.1707,0.1473,0.0537,0.0307,-0.0392,33.2816,-4.6183,3.247,2.0424,0.4263
PWA0015AU,BlackRock Australian Share Plus,-0.0,0.9938,-0.1697,0.1497,0.0544,0.0288,-0.0257,33.2402,-4.5943,3.3035,2.0689,0.4008
HOW0018AU,NovaPort Smaller Companies Class I,0.0032,0.8552,0.0754,0.503,0.0214,0.0399,2.3724,24.0206,1.7141,9.3228,0.6833,0.4654
PWA0014AU,BlackRock Australian Share,-0.0006,0.9823,-0.1704,0.1193,0.0452,0.0305,-0.5765,33.0383,-4.6379,2.6472,1.7289,0.4258
CSA0131AU,SGH Australian Small Companies,0.001,0.8251,0.0362,0.5551,0.0613,0.2107,0.8027,24.6284,0.8747,10.9335,2.0814,2.6129
RIM0029AU,Russell Aust Opportunities Class A,0.0018,0.9464,0.0364,0.0579,-0.0118,-0.0755,4.7364,92.5308,2.8733,3.7355,-1.313,-3.059
TYN0028AU,Tyndall Australian Share Wholesale,0.0022,0.9819,0.0669,-0.0125,-0.03,-0.1983,2.8255,46.5371,2.5672,-0.3905,-1.6168,-3.9038
PPL0108AU,Antares Pers High Growth Shares,0.0027,0.9561,-0.0457,-0.0305,-0.0064,-0.1797,3.8611,51.1806,-1.9786,-1.0767,-0.3915,-3.9959
WFS0021AU,BT Investor Choice Australian Share,0.0016,0.9491,0.005,-0.1177,0.0009,-0.0273,3.8394,84.9948,0.3612,-6.9534,0.0872,-1.0168
COM0022AU,Commonwealth Australian Equity Fund,0.0016,0.9118,-0.0675,-0.0041,0.0397,-0.1818,0.8754,18.5974,-1.115,-0.0555,0.9212,-1.5402
COM0012AU,Commonwealth Imputation Share Fund,0.0013,0.9421,-0.0579,0.0061,0.0441,-0.1669,0.8414,22.8332,-1.1367,0.0968,1.2145,-1.6802
VAN0002AU,Vanguard Australian Shares Index,0.0017,0.9902,-0.0037,-0.0019,0.0013,-0.0127,11.7568,264.1907,-0.7954,-0.3267,0.3821,-1.409
VAN0104AU,Vanguard Australian Shares High Yield,0.0017,0.9825,0.1462,-0.0522,0.0162,-0.0418,2.9209,62.8389,7.5667,-2.2035,1.1811,-1.1108
PER0102AU,Perpetual Concentrated Equity,0.0031,0.9148,0.0274,-0.0191,-0.028,-0.0947,4.0257,45.2891,1.098,-0.6248,-1.5782,-1.9475
CNA0812AU,Invesco WS Aus Smaller Companies-Class A,0.0012,0.9345,0.0266,0.6557,0.0059,0.0549,1.1069,31.6189,0.7273,14.6391,0.2253,0.7709
AUG0002AU,Australian Ethical Australian Shr,0.0039,0.7465,0.0069,0.2742,0.0158,-0.2395,2.8142,20.4231,0.1531,4.9508,0.493,-2.7215
RFA0819AU,Pendal Smaller Companies,0.0028,0.9379,-0.0197,0.6593,0.0896,0.0049,2.8936,36.0192,-0.6128,16.7075,3.915,0.0775
RFA0103AU,Pendal Imputation,0.0021,0.9603,0.0165,-0.0708,0.0073,-0.082,4.6228,80.2445,1.1144,-3.9022,0.6973,-2.8449
PAM0001AU,Alphinity Australian Share,0.0013,1.0038,0.0171,0.0002,0.0084,0.0736,2.464,74.1702,1.0238,0.0106,0.7033,2.258
GLO0015AU,Alphinity Sustainable Share B,0.0002,1.003,0.0528,0.0638,0.0186,0.0977,0.2456,61.3396,2.6127,2.5759,1.2939,2.4817
RFA0019AU,BT Imp Shr Retail,0.0014,0.9573,0.0172,-0.0708,0.0063,-0.081,3.2342,80.6067,1.1743,-3.9331,0.5992,-2.8318
EQI0001AU,Alphinity Concentrated Aus Share B,0.0002,1.0207,0.0196,0.0514,-0.0021,0.1256,0.2251,49.4465,0.7701,1.6419,-0.113,2.5266
RFA0011AU,BT Class Inv Core Aus Shr,0.0015,0.9485,-0.0213,-0.0191,0.0036,-0.0257,3.3911,81.9402,-1.4917,-1.0875,0.3509,-0.9215
RFA0013AU,BT Class Inv Natural Resources,0.0054,0.9408,-0.5032,0.3492,-0.1007,-0.5322,1.886,12.4799,-5.403,3.0561,-1.5198,-2.9323
RFA0012AU,BT Smaller Companies Retail,0.0023,0.9424,-0.0217,0.6595,0.0894,0.0047,2.3569,36.0902,-0.672,16.6636,3.8945,0.0741
MAQ0178AU,Macquarie Australian Enhanced Plus Eqs,0.0018,0.9942,-0.0133,0.0168,0.0087,0.0193,6.6197,137.3711,-1.4814,1.5327,1.3724,1.1025
WFS0285AU,Pendal Sustainable Australian Share,0.0011,0.9819,-0.014,-0.0117,0.0257,0.0053,2.1273,74.8655,-0.8629,-0.5884,2.2328,0.1666
IOF0214AU,Perennial Value Smaller Companies Trust,0.0037,0.8919,0.0332,0.6326,-0.0629,-0.2398,2.4011,21.7307,0.6551,10.1706,-1.7415,-2.4267
IML0002AU,Investors Mutual WS Australian Share,0.0018,0.7657,0.0573,-0.0084,-0.0141,-0.0084,2.5551,41.3765,2.5064,-0.299,-0.8694,-0.1892
EGG0001AU,Eley Griffiths Group Small Companies,0.0028,0.9487,-0.072,0.6174,0.0544,-0.0188,2.451,31.122,-1.9125,13.3643,2.0286,-0.2558
WAR0002AU,Merlon Australian Equity Income (CNA),0.0007,0.7058,0.1409,0.0883,-0.0287,-0.0897,0.86,33.4254,5.4001,2.76,-1.5434,-1.7653
UBS0004AU,UBS Australian Small Companies Fund,0.0051,0.9366,-0.0541,0.5166,0.006,-0.2127,4.0791,28.2128,-1.3179,10.278,0.2062,-2.6618
PER0281AU,Perpetual's - Australian Share Fund,0.0016,0.8936,0.0715,0.0626,-0.0114,-0.0805,1.8301,38.2777,2.173,1.528,-0.5223,-1.3915
DFA0101AU,Dimensional Australian Value Trust,0.0034,0.9597,0.2298,0.1761,-0.0417,-0.2663,4.4578,46.9699,9.1051,5.6864,-2.3186,-5.4126
DFA0103AU,Dimensional Aust Large Company Trust,0.0019,0.9824,0.0079,-0.0725,-0.0025,-0.0023,10.5998,202.7018,1.3171,-9.8703,-0.5816,-0.1935
DFA0104AU,Dimensional Aust Small Company Trust,0.0025,0.962,-0.0293,0.6787,-0.0545,-0.1062,3.4552,49.1867,-1.2107,22.898,-3.1702,-2.2546
PER0071AU,Perpetual Geared Australian,0.004,2.1085,0.0413,0.0542,-0.0255,-0.1557,2.3945,47.651,0.7558,0.8079,-0.6549,-1.4613
PER0072AU,Perpetual SHARE-PLUS Long-Short,0.0041,0.8486,0.0261,0.0081,0.0094,-0.1674,4.2408,33.2852,0.8298,0.2095,0.4211,-2.7268
OPS0002AU,OC Premium Small Companies,0.002,0.9827,0.1167,0.6569,-0.0065,0.1598,1.2889,23.7681,2.2844,10.484,-0.1778,1.6057
OPS0001AU,OC Dynamic Equity,0.0031,0.9968,0.1117,0.685,0.0029,0.1306,1.7682,21.7231,1.9701,9.8501,0.0721,1.1824
IOF0200AU,Perennial Value Australian Shares Trust,0.0021,0.9806,0.0533,0.0302,-0.0195,-0.1803,3.6096,63.4366,2.7903,1.2879,-1.4368,-4.8434
MAQ0278AU,Macquarie Australian Equities,0.003,1.0045,-0.0677,-0.0002,-0.0077,0.0224,6.8364,87.5437,-4.7771,-0.0131,-0.7618,0.8093
STL0100AU,Sandhurst BMF-Sandhurst Ind Share,0.0006,0.7598,0.2133,0.0306,0.0143,0.0048,0.6568,32.286,7.3375,0.8575,0.6911,0.0843
RIM0006AU,Russell Australian Share A,0.0019,0.9944,0.0086,0.0004,-0.0135,-0.0671,5.7641,113.2113,0.7906,0.0287,-1.7507,-3.1711
MIN0006AU,Mercer Australian Shares,0.0008,0.958,-0.0132,0.0107,0.0225,-0.075,1.3438,62.6963,-0.6941,0.4519,1.6618,-2.0395
MIN0007AU,Mercer Australian Small Companies,0.0023,0.9268,0.0363,0.6311,-0.0216,-0.0691,2.2485,33.9633,1.0646,14.8821,-0.894,-1.0519
ETL0043AU,Lincoln Wholesale Australian Growth,0.0003,0.9248,-0.2514,0.4479,0.0653,0.2197,0.1934,21.0455,-4.5821,6.5546,1.6755,2.0735
PER0270AU,Pengana Emerging Companies,0.0044,0.9832,0.0556,0.5683,0.1102,-0.0024,2.8872,24.7053,1.1203,9.193,3.122,-0.0252
IML0005AU,Investors Mutual Equity Income,0.0018,0.6281,0.1167,0.0908,0.0093,-0.1259,2.1784,29.1236,4.3674,2.7782,0.4868,-2.4186
FID0008AU,Fidelity Australian Equities,0.0028,0.9822,-0.0403,-0.0114,0.0309,0.0286,5.2746,70.3301,-2.3342,-0.538,2.5183,0.8492
NET0001AU,BlackRock GSS Australian Equities Index,0.0015,0.987,0.0046,-0.0087,-0.0208,-0.0158,5.0984,127.2566,0.4826,-0.7354,-3.0529,-0.8434
HOW0027AU,NovaPort Microcap,0.0046,0.6991,0.0616,0.5083,0.0099,-0.4069,2.5568,14.7936,1.0402,6.8353,0.2372,-3.5833
RFA0059AU,Pendal Focus Australian Share,0.0029,0.9672,-0.0289,-0.0084,-0.0029,-0.0294,4.7961,61.6149,-1.4714,-0.3408,-0.2077,-0.7744
DDH0002AU,Selector Australian Equities,0.0029,0.9616,-0.0523,0.5259,0.0349,0.2431,1.6966,21.4089,-0.933,7.5325,0.878,2.2483
MIN0020AU,Mercer Australian Shares Plus,0.0015,0.988,-0.0095,0.0327,-0.0073,-0.0165,3.4441,87.9764,-0.6754,1.8615,-0.732,-0.6074
FPS0011AU,Fiducian Geared Australian Shares,0.0014,1.572,0.1009,0.0603,0.0551,-0.2555,1.08,46.1588,2.3993,1.168,1.8385,-3.1158
WPC0005AU,Specialist Australian Shares,0.0023,0.7874,0.0296,0.3385,-0.1549,0.0772,1.9058,24.7134,0.7439,6.8151,-5.5039,1.0073
TGP0005AU,Armytage Strategic Opportunities Ret,-0.0008,0.9336,0.1154,0.1138,0.0225,-0.013,-0.875,39.6478,3.9217,3.0861,1.0793,-0.2294
MAQ0177AU,Macquarie Aus Pure Indexed Equities,0.0018,0.992,-0.0059,-0.0013,0.0021,-0.0136,11.09,230.8472,-1.1065,-0.2045,0.5615,-1.3164
ETL0042AU,SGH High Conviction Fund,0.0031,0.9335,-0.2324,0.2432,0.0608,-0.1126,2.9029,33.2395,-6.6298,5.5744,2.4427,-1.6597
