,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
PVA0005AU,Prime Value Opportunities,0.0008,0.8769,-0.0613,0.2009,0.093,0.0272,0.8944,37.9777,-1.8364,4.9153,4.424,0.4731
FID0026AU,Fidelity Future Leaders,0.0011,1.0147,-0.2214,0.5639,0.162,0.1497,0.9383,30.7872,-4.5273,9.7396,4.8819,1.7868
OPH0001AU,Ophir Opportunities,0.0093,0.9065,-0.0148,0.9382,0.1598,0.0859,4.0614,14.8792,-0.1671,8.6608,2.9079,0.5653
PER0704AU,Perpetual Pure Microcap Fund,0.0081,0.7984,0.1108,0.7246,0.0723,-0.5177,2.9578,10.7036,0.999,5.5139,0.9301,-2.7255
PER0708AU,Implemented Australian Share Portfolio,0.0007,0.8604,-0.0302,0.1406,-0.012,-0.0639,1.3317,60.2714,-1.4275,5.5705,-0.7829,-1.7482
MIC0002AU,Microequities High Income Value Microcap,0.0047,0.7803,0.311,0.7814,0.0398,-0.1037,2.1114,13.2813,3.6413,7.4538,0.7429,-0.7074
DFA0036AU,Dimensional Australian Core Imptn Trust,0.0001,0.9984,0.1884,0.0632,-0.0375,0.0782,0.288,77.4677,9.9658,2.8151,-2.6829,2.3683
BEG0006AU,Australian Equities Extension Fund,-0.0,1.0922,0.079,-0.015,0.1002,0.145,-0.0087,29.8722,1.4992,-0.2385,2.5565,1.5696
BTA0476AU,Pendal Wholesale Plus Australian Share,0.0008,0.9519,0.0265,0.008,-0.0041,0.0154,1.2656,53.1264,1.0194,0.2582,-0.2053,0.3402
BTA0477AU,Ironbark Renaissance WS Plus AU Small Co,-0.0014,0.8671,-0.037,0.636,0.0215,0.0898,-0.925,21.0743,-0.6198,8.9557,0.4719,0.8656
BTA0480AU,Bennelong WS Plus ex-20 Aus Equities,0.0011,1.0187,-0.313,0.457,0.0395,0.0537,0.5027,16.6214,-3.5201,4.3202,0.5809,0.3475
BTA0481AU,Fidelity WS Plus Australian Equities,0.0001,0.9796,-0.01,0.0682,0.0551,0.0003,0.1978,50.2124,-0.3531,2.0246,2.5455,0.0065
BTA0482AU,Perpetual WS Plus Australian Share,0.0005,0.8803,0.0848,0.0968,-0.0419,-0.0595,0.4115,28.2605,1.8765,1.8,-1.212,-0.757
BTA0483AU,Schroder WS Plus Australian Equity,0.0015,0.9166,0.0397,-0.0553,-0.0756,-0.1673,1.9341,43.9585,1.3124,-1.5355,-3.2715,-3.1815
BTA0537AU,Tyndall WS Plus Australian Share Fund,0.0003,0.9748,0.1523,0.0509,-0.0243,-0.1808,0.2482,28.1909,3.0264,0.8489,-0.6333,-2.0612
DSC0001AU,DS Capital Growth Fund,0.0047,0.7014,-0.0258,0.4923,0.0923,-0.0365,3.2019,18.1803,-0.463,7.1868,2.6213,-0.3771
CRM0028AU,Cromwell Phoenix Opportunities Fund,0.0077,0.5366,0.2572,0.4957,0.1305,0.0415,3.1765,8.3066,2.8004,4.3755,2.2259,0.2592
UBS0057AU,UBS Microcap Fund,0.0053,0.7769,0.067,0.7678,0.1083,-0.2533,2.1075,11.6666,0.6857,6.613,1.5002,-1.4839
RGL0004AU,Regal Australian Small Companies Fund,0.0119,1.2266,0.1322,1.1861,0.4303,-0.3144,2.4864,9.356,0.7018,5.2987,2.9159,-0.9592
PIM0028AU,DNR Capital Aus Eq High Conviction R,0.0044,1.0063,0.0354,0.0479,0.0091,-0.1593,4.7612,40.619,1.0103,1.1122,0.4253,-2.7085
AUG0027AU,Australian Ethical Emerging Companies WS,0.0052,0.8358,-0.0297,0.5702,-0.0184,-0.2536,2.1732,12.7591,-0.3151,5.133,-0.2508,-1.5636
UBS0063AU,UBS Australian Small Companies SIV Fund,0.0014,0.859,0.2068,0.9964,0.1385,-0.1137,0.5223,11.5513,1.9672,7.8566,1.7066,-0.6311
CIM0001AU,Cyan C3G,0.0004,0.6423,0.0496,0.9415,0.1671,-0.5476,0.0887,6.0182,0.3162,5.0379,1.4444,-1.9908
SSB0064AU,Martin Currie Eth Val WithInc,-0.0005,0.886,0.0456,0.1711,0.0338,-0.252,-0.4574,27.2549,0.9981,3.0733,0.9436,-3.2164
ETL0444AU,Flinders Emerging Companies A,0.0001,1.0339,0.1692,0.815,0.0888,0.0762,0.0428,20.5063,2.3741,9.4777,1.6133,0.6234
KTA0002AU,Katana Australian Equity Fund,0.0037,0.8154,0.0934,0.4011,-0.0614,0.0132,3.0175,24.7663,1.9671,6.8818,-2.0066,0.1601
BFL0017AU,Bennelong Twenty20 Australian Equities,0.0003,1.0155,-0.0824,0.1413,-0.0024,0.0092,0.2365,27.5802,-1.593,2.2404,-0.0598,0.1031
BLK0012AU,BlackRock High Conviction Australian Eq,-0.0024,0.9724,-0.1434,0.5513,0.0619,0.0091,-1.1399,16.7331,-1.7803,5.5553,0.9726,0.0655
WHT0066AU,Spheria Australian Microcap,0.0066,0.8318,0.2505,0.8227,-0.1023,-0.0977,2.2487,10.2027,2.2458,5.9971,-1.1056,-0.5126
BFL0021AU,Touchstone Index Unaware,0.0009,0.9294,-0.0488,0.0637,-0.0566,-0.2003,0.7762,28.8044,-1.1023,1.1684,-1.5409,-2.6409
CLN6300AU,Collins St Value Fund,0.006,0.6263,0.3196,0.4411,-0.2119,0.1822,1.5013,5.6086,2.0826,2.3255,-1.682,0.6915
MIN0045AU,Mercer Sustainable Plus Australian Shs,0.0006,0.9663,0.0015,0.0384,0.0101,0.0401,1.1244,68.2286,0.0727,1.5344,0.7739,1.1329
WPC3982AU,Perennial Value Microcap Opportunities,0.0036,0.7591,-0.0159,0.9102,-0.1636,-0.1362,0.9568,7.3502,-0.1136,5.1867,-1.4049,-0.5642
FSF8777AU,First Sentier Australian MidCap Fd,0.0021,0.9924,-0.0648,0.4752,-0.0719,0.2077,1.574,27.5081,-1.3214,7.7751,-1.7645,2.4636
