,GREIT,GREIT_HEDGED,INFRA,INFRA_HEDGED,AREIT,RFRATE
31/08/2010,0.007262623,-0.00096747,0.005104314,0.003800215,0.037366946,0.004059848
30/09/2010,0.000374939,0.053456074,-0.014466349,0.031906497,-0.009004533,0.003714872
29/10/2010,0.028555113,0.045692965,0.029935863,0.038026246,-0.004487301,0.004199227
30/11/2010,-0.019989363,-0.02710725,-0.030579428,-0.022050192,-0.020479358,0.003887162
31/12/2010,-0.007444359,0.050112152,-0.007716025,0.035518563,0.01214387,0.00424178
31/01/2011,0.041430475,0.024072968,0.060822268,0.035006748,0.024237558,0.004284288
28/02/2011,0.00879168,0.03765285,0.009337168,0.02367795,0.032940143,0.003709876
31/03/2011,-0.027748137,-0.005915976,-0.029761737,-0.017903702,-0.018213474,0.004187934
29/04/2011,-0.00689947,0.046133648,-0.003529251,0.02629621,0.002090875,0.004026488
31/05/2011,0.032580816,0.019860209,0.01406557,0.004100065,-7.43E-05,0.004164875
30/06/2011,-0.028585566,-0.022841796,-0.012701751,-0.007957549,-0.007098847,0.004041894
29/07/2011,-0.018334547,0.001783285,-0.050710122,-0.027420631,-0.065790687,0.004182315
31/08/2011,-0.038474394,-0.054843919,-0.031966031,-0.050065833,0.031080805,0.004262227
30/09/2011,-0.033439487,-0.097024416,0.041403744,-0.010959305,-0.045041818,0.003868318
31/10/2011,0.030640042,0.097741127,-0.014061802,0.046551304,0.038097273,0.004201323
30/11/2011,-0.024598714,-0.0353568,0.012935023,-0.000536463,0.026299159,0.003923502
30/12/2011,0.008616678,0.026773748,0.003757656,0.017870889,-0.026519686,0.004032169
31/01/2012,0.04258935,0.057767802,-0.005255289,0.020921391,0.054240388,0.003893638
29/02/2012,0.018460696,0.008591113,0.021791849,0.032100357,0.022165069,0.003324543
30/03/2012,0.053643601,0.047214756,0.039543489,0.011273835,-0.006960179,0.00390461
30/04/2012,0.016969084,0.0240211,-0.002911335,0.001216092,0.054993306,0.003783103
31/05/2012,0.003072947,-0.037684316,-0.011026156,-0.044745352,-0.012654297,0.003809699
29/06/2012,0.010034792,0.047881227,0.0043052,0.040046528,0.0441903,0.002837831
31/07/2012,0.011071979,0.030093684,-0.01098716,0.021581679,0.056336305,0.002924897
31/08/2012,0.018180554,0.004576469,0.020384147,-0.002914417,-0.000827712,0.002991146
28/09/2012,0.01396945,-0.004820674,0.021115018,0.020256098,0.013123341,0.003132102
31/10/2012,0.009046017,0.009504944,0.016313904,0.019360369,0.052979627,0.002965802
30/11/2012,0.004365418,0.007543903,-0.01769593,-0.012872927,-0.013442823,0.002543368
31/12/2012,0.044670708,0.031193486,0.027202278,0.021836702,0.028579495,0.002875154
31/01/2013,0.025966642,0.03365419,0.025788405,0.028429639,0.044236776,0.002684354
28/02/2013,0.026698994,0.017496046,0.017273158,0.01786999,0.03522136,0.002245654
29/03/2013,0.003345516,0.032617307,0.006885631,0.027351494,-0.026793418,0.002463143
30/04/2013,0.076692155,0.060149057,0.050000728,0.039127838,0.082494595,0.002613846
31/05/2013,-0.000173421,-0.056874259,0.025335787,-0.034918984,-0.037197196,0.002568745
28/06/2013,0.023604932,-0.027111956,0.029951666,-0.016685686,-0.00797803,0.002299354
31/07/2013,0.029181187,0.011402389,0.060553343,0.037286486,-0.007897569,0.002531603
30/08/2013,-0.035109325,-0.054846711,-0.02372259,-0.025191198,-0.001600015,0.002313747
30/09/2013,0.006794154,0.044254811,0.013862332,0.044481692,0.010007515,0.002110326
31/10/2013,0.015474538,0.038075172,0.024801079,0.039700058,0.026408789,0.002179664
29/11/2013,0.002181431,-0.033858867,0.032110795,-0.002913401,-0.027642301,0.002131805
31/12/2013,0.023816399,0.002205816,0.033869289,0.013851113,-0.013295332,0.002147706
31/01/2014,0.018668211,0.025857551,0.012772463,0.00581611,0.004656436,0.002242576
28/02/2014,0.018691038,0.047609318,0.026671033,0.036578675,0.044187771,0.001993163
31/03/2014,-0.03623887,0.002027084,-0.008357483,0.028133271,-0.01593943,0.002179805
30/04/2014,0.030580828,0.032951678,0.020027121,0.015951285,0.057097372,0.002214477
30/05/2014,0.029166636,0.032109135,0.022604365,0.029371854,0.000470514,0.002248628
30/06/2014,0.000528582,0.009037677,0.024710871,0.032318939,0.029721919,0.002202148
31/07/2014,0.017647328,0.003748126,-0.007158978,-0.007603576,0.050054323,0.002299183
29/08/2014,0.008119326,0.02823131,0.017604928,0.028516968,0.016946939,0.002266145
30/09/2014,0.004497884,-0.049195725,0.027114826,-0.015282947,-0.053505574,0.00207374
31/10/2014,0.060272365,0.075830414,0.010515329,0.022726674,0.067765205,0.002311461
28/11/2014,0.039679511,0.028316612,0.034471266,0.010649485,-0.00069358,0.002248759
31/12/2014,0.04947213,0.015244683,0.03606503,0.008800608,0.045059098,0.002318118
30/01/2015,0.104175891,0.074609801,0.05282527,0.034397333,0.077042002,0.002514267
27/02/2015,-0.013468645,-0.013607669,-0.006208785,-0.001050857,0.037653939,0.002089733
31/03/2015,0.023922552,0.009458749,0.016259227,0.009947157,-0.020763583,0.00205287
30/04/2015,-0.04853338,-0.035321516,0.007196272,0.024140921,-0.010883935,0.001797223
29/05/2015,0.017320411,-0.007162779,0.016036115,-0.002597022,0.029159778,0.002002633
30/06/2015,-0.045493271,-0.043715816,-0.051881276,-0.050631501,-0.041505574,0.001758949
31/07/2015,0.085014089,0.053880716,0.065237054,0.02392948,0.057066477,0.001803621
