Group/Investment,Combo,Ticker,APIR Code,Hedged,Category,Grouped,31/01/2015,28/02/2015,31/03/2015,30/04/2015,31/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,31/10/2015,30/11/2015,31/12/2015,31/01/2016,29/02/2016,31/03/2016,30/04/2016,31/05/2016,30/06/2016,31/07/2016,31/08/2016,30/09/2016,31/10/2016,30/11/2016,31/12/2016,31/01/2017,28/02/2017,31/03/2017,30/04/2017,31/05/2017,30/06/2017,31/07/2017,31/08/2017,30/09/2017,31/10/2017,30/11/2017,31/12/2017,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022,31/01/2023,28/02/2023,31/03/2023,30/04/2023,31/05/2023,30/06/2023,31/07/2023,31/08/2023,30/09/2023,31/10/2023,30/11/2023,31/12/2023,31/01/2024,29/02/2024,31/03/2024,30/04/2024,31/05/2024,30/06/2024,31/07/2024,31/08/2024,30/09/2024,31/10/2024,30/11/2024,31/12/2024
Magellan Core Infrastructure Fund,MGE9182AU,43992,MGE9182AU,Hedged,Infrastructure,Infrastructure-Hedged,5.08681,-2.53333,0.10111,0.68925,0.44258,-5.17008,5.26615,-3.09466,3.10304,3.79243,-0.98173,0.79448,2.53404,0.32402,5.23716,-0.21663,1.67049,4.2292,1.02227,-3.40755,0.86818,-1.44866,-4.66203,3.59977,-0.6912,4.3391,3.37139,1.965,4.43013,-2.51693,1.03457,2.74214,-2.89017,2.9468,1.96302,-3.01736,-2.71421,-4.66721,2.14041,2.52991,-1.56076,3.36731,1.15734,-0.54215,-1.20872,-0.19992,2.09135,-2.52727,5.88614,2.79848,2.74449,1.06559,1.1256,3.12082,-0.11614,3.39238,1.74638,0.66966,-0.78145,2.79242,4.7999,-7.54683,-11.09731,4.41079,2.79518,-1.63699,1.75475,-1.43708,-0.05554,-0.25009,4.81928,-1.14943,-2.15755,-2.67912,8.25157,3.2603,-0.13892,-0.13912,3.99252,1.61881,-3.52173,1.98014,-1.26551,7.11862,-2.02255,-0.6333,6.51428,-0.64438,1.41873,-5.08736,4.38935,-2.46305,-11.55604,3.60299,5.10499,-2.8031,3.9199,-2.82116,2.57906,2.68478,-4.64472,-0.19355,0.21785,-4.42,-4.50034,-0.71444,7.5229,2.33218,-1.82248,-1.05878,2.93934,-1.72134,3.53046,-2.7599,6.74988,2.87413,2.87002,-1.76532,2.99089,-3.95339
Ausbil Global Essential Infras - Hdg,AAP3601AU,43898,AAP3601AU,Hedged,Infrastructure,Infrastructure-Hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6943,-0.15208,-1.82037,-3.42652,6.54765,3.26358,0.20334,1.30739,3.53813,2.59906,-3.64346,3.45682,-1.25118,6.29739,-4.93414,2.31868,6.62564,-0.91085,0.76478,-4.62641,7.8246,-2.68359,-10.87259,4.72806,5.77295,-4.30657,3.87091,-3.04906,1.68053,3.09093,-4.71785,0.87792,0.25431,-5.62743,-5.58076,-0.07602,7.57782,2.30515,-2.40757,-2.7309,3.27283,-3.24184,4.87606,-3.28901,6.62533,3.43458,3.40993,-0.15879,5.21707,-5.26678
ATLAS Infrastructure Aust Fdr Fd - Hdg,PIM9253AU,41986,PIM9253AU,Hedged,Infrastructure,Infrastructure-Hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81293,-0.13697,-0.30371,-2.66313,3.06916,3.5263,1.28678,2.14853,1.07856,-0.24714,0.85337,-1.1282,1.34352,-0.49941,6.38239,2.62092,2.96564,1.95822,-0.38412,4.13721,0.35202,-0.3818,2.62026,0.20579,2.02328,2.44241,3.23297,-5.69729,-15.95106,5.50633,2.53664,-1.58937,2.84184,-0.07559,-1.42893,0.86126,8.88569,1.55146,-2.83313,-2.27491,5.83607,1.63414,0.52579,-0.29563,1.3333,2.6885,1.17185,2.11128,-1.60816,6.11456,-2.37344,1.34491,7.3515,1.03996,1.86432,-6.52644,1.83436,-1.62568,-12.91487,8.42768,6.21369,-4.27167,7.97825,-2.0815,1.5391,3.88119,-3.23889,0.43955,0.87838,-3.83744,-5.45403,-1.36666,4.8534,4.198,-1.00415,-1.73599,2.82665,-1.84432,3.8151,-4.55578,6.97521,1.27847,2.25564,-4.30383,2.31919,-6.10403
CBRE Global Infrastructure Securities,UBS0064AU,41432,UBS0064AU,Hedged,Infrastructure,Infrastructure-Hedged,,,,,,,,,,,,,,,,,,,,,2.289,-2.05047,-2.60668,2.56278,-0.02015,3.66825,2.6445,2.01701,3.13027,-0.91525,0.35726,2.47356,-1.24725,1.98628,2.34075,-0.98359,-1.12559,-5.54314,0.49959,2.74107,1.56279,1.82426,1.84479,0.44021,-1.17787,-2.81807,3.30861,-5.06729,7.73536,3.16758,3.72638,1.31045,-0.31712,3.14621,0.16328,2.62244,2.00726,-0.26079,-0.7131,2.54018,3.68733,-8.35841,-12.33068,5.48741,4.26099,-1.15775,1.69486,-0.57461,-1.7338,-0.38726,6.88284,0.81524,-1.09012,-1.51251,8.01963,3.5673,0.71067,-0.09034,1.23427,2.71232,-3.86499,4.36474,-2.39411,5.75505,-2.69879,0.37436,6.02181,-2.74942,1.28727,-5.17638,5.73627,-1.34295,-11.39412,3.36952,6.9724,-3.43265,2.82297,-2.99832,2.29253,2.35993,-4.59734,1.43218,0.76632,-4.5092,-4.70852,-0.70303,8.26953,2.49864,-2.72184,0.51736,3.37871,-1.95134,5.50369,-3.39806,5.59562,2.62371,3.76156,-1.31255,3.99328,-5.83363
Maple-Brown Abbott Gbl Listed Infra Hd,MPL0008AU,40949,MPL0008AU,Hedged,Infrastructure,Infrastructure-Hedged,,,,,,,,-4.33876,-1.26622,5.9166,-0.86939,-0.22177,-0.35594,2.20453,4.32395,2.7933,2.89543,2.45874,2.14767,-0.83776,1.69876,-1.76999,-2.25007,3.80837,-1.60486,2.97641,3.82998,1.5514,2.43236,-1.46536,0.62937,1.24218,-1.81038,0.17576,0.25441,-1.24256,-1.89823,-4.52398,1.0942,2.1875,-0.27801,2.82849,0.21312,-0.24965,-1.73341,-0.71185,-1.41478,-2.42412,7.61152,2.25857,2.44501,1.77583,-0.77159,3.81552,-0.18956,0.44026,2.28621,-0.90402,0.5286,3.70622,1.84165,-7.08808,-13.65888,5.56118,3.1187,-2.50326,1.29808,-1.5547,-1.13897,0.11691,7.07474,-0.4726,-2.39757,-1.27059,7.89323,4.0878,0.05123,-0.34151,1.63808,2.11796,-3.01603,3.04147,-2.07034,6.75836,-1.04725,1.17143,6.4681,0.09044,1.09187,-6.02605,6.87321,-2.43605,-11.2526,4.0385,5.84981,-2.63902,3.81483,-1.90127,2.85069,3.41575,-5.19267,0.28464,1.18951,-4.53291,-3.64739,-0.25331,8.62473,0.65642,-2.61479,0.30448,1.89495,-1.94333,4.01926,-2.21688,6.80957,2.77375,3.08696,-2.08208,2.80292,-5.10256
Macquarie Hedged Index Global Infra Secs,MAQ0829AU,40374,MAQ0829AU,Hedged,Infrastructure,Infrastructure-Hedged,4.6211,0.85336,0.82259,1.13215,0.10662,-4.47992,4.41943,-4.33698,-0.55984,4.3393,-2.23874,-1.3816,0.98048,0.67545,5.12789,0.37745,1.18409,3.73132,1.925,-2.67432,1.6026,-1.36049,-2.94553,3.45822,0.27284,3.89489,2.57149,1.93833,3.47162,-1.51595,0.96928,2.26583,-1.96985,2.43142,1.93772,-2.22835,-1.49077,-4.69557,1.24657,2.847,0.25749,2.85522,1.76096,-1.13281,-0.5975,-1.28704,2.73659,-4.12802,6.61866,3.39041,3.34521,1.07259,-0.56219,3.17981,0.22816,1.47295,1.71549,-0.15568,-0.92905,2.66903,3.79407,-8.65846,-15.83238,7.03594,4.05325,-3.11127,1.32174,0.17164,0.07904,-0.68611,6.37306,-0.31534,-2.15821,-0.83872,7.7855,3.32229,-0.54227,-0.35349,2.22204,2.01963,-2.58388,3.02783,-2.36058,6.76619,-2.81155,-0.68022,7.27528,-1.6209,2.02377,-5.28589,4.79755,-1.32883,-11.38814,3.33775,6.06682,-3.12012,2.64126,-3.67264,1.8563,2.42601,-4.72896,1.55633,1.00882,-4.66639,-4.42079,-0.63836,6.8622,2.41238,-2.2302,0.58556,3.63998,-1.86514,4.98796,-2.45753,6.28179,3.02305,2.10233,-0.80817,3.88932,-5.33067
First Sentier Global Listed Infras Fd,FSF1241AU,19480,FSF1241AU,Hedged,Infrastructure,Infrastructure-Hedged,3.77343,2.25752,0.24442,1.89555,-0.17754,-4.71698,3.84847,-4.01548,-1.17944,4.70264,-2.21161,-0.89393,0.13234,1.45384,6.37338,0.80075,1.40187,3.71429,2.00144,-2.36875,1.62955,-1.28274,-1.9852,2.94393,0.64016,4.58699,1.97019,1.82292,3.67956,-1.55964,1.18543,2.07799,-0.84611,1.22508,0.03339,-0.78154,-1.36434,-5.39365,0.67126,2.73109,0.66684,1.83713,1.55249,-1.40432,-1.51447,0,2.46224,-4.56778,7.21991,2.94767,3.12045,1.13891,-0.06576,2.83764,0.63973,1.69778,1.66944,-0.77821,-0.53333,3.25412,1.82983,-7.99151,-14.70128,7.79635,4.31977,-2.16495,0.82668,-0.382,-1.61803,-0.23767,6.9373,0.27314,-1.84651,-0.28448,7.18756,3.50305,0.06636,-0.99163,1.66794,1.75716,-3.39635,2.42291,-3.06038,7.16724,-2.62739,-0.31889,6.47199,-2.27273,1.52148,-5.31915,5.12209,-0.97624,-10.77062,2.95553,6.83241,-3.15587,2.91296,-3.11608,1.86389,1.82979,-5.37401,1.88129,1.40817,-5.9015,-3.97779,-1.01431,7.03888,2.73777,-3.10894,0.8988,2.69018,-0.84143,4.60152,-2.62608,6.88497,2.62248,1.65399,-1.81215,3.59695,-5.44311
Mercer Global Listed Infrastructure,MIN0033AU,18333,MIN0033AU,Hedged,Infrastructure,Infrastructure-Hedged,4.29038,2.31503,-0.12995,2.60237,0.2611,-4.67003,3.76897,-4.75236,-1.31237,4.67946,-1.31831,-2.31016,-0.57262,0.81423,6.11332,1.01874,0.90414,2.91877,2.3443,-1.89174,0.98734,-1.43777,-2.41568,3.47013,0.67114,4.22989,2.23864,1.75817,3.84778,-1.59948,0.81753,1.95968,-0.93892,0.75825,-0.07747,-0.52919,-1.02587,-5.11492,0.37996,2.64963,0.65683,2.04139,1.67707,-0.89092,-2.23518,0.0994,2.13505,-3.71901,6.65236,2.88792,3.66962,0.93209,-0.10994,3.64106,0.48675,1.7761,1.56531,-0.47902,-0.41854,2.58174,3.06415,-9.36661,-13.83434,6.23886,3.81112,-1.6431,0.91903,-1.10756,-0.54754,-1.25125,6.53827,-0.13083,-2.33417,-0.68284,7.13321,3.3234,0.16637,-0.70703,2.06776,2.03731,-3.78015,2.76288,-2.62053,6.91985,-2.37525,-1.06027,6.52002,-2.6051,1.90279,-6.79362,3.66286,-0.96589,-12.46914,4.8519,5.66317,-2.95353,2.79418,-2.87136,1.53725,2.21273,-4.58286,1.66435,1.8211,-5.85218,-5.50356,0.10347,6.45304,4.42502,-3.08183,-0.94572,2.54601,-1.34935,4.71892,-4.21866,6.52471,1.99897,1.97236,-3.74523,2.29105,-6.78178
ClearBridge RARE Emerging Markets,TGP0015AU,16750,TGP0015AU,Unhedged,Infrastructure,Infrastructure-Unhedged,5.94599,1.0043,1.39539,2.46807,-0.43428,-3.46917,1.44674,-5.48322,-2.83246,2.52199,-6.01524,-0.33021,-2.70311,-1.61381,5.29977,2.88869,0.69471,3.74013,3.76549,0.1424,-2.93106,2.04139,-3.19533,1.71737,1.86678,3.10386,3.98753,2.98447,-0.47358,-1.08264,2.02723,0.28316,-0.53601,3.91666,-1.94008,-1.50628,-2.23203,0.46156,-0.97816,0.08481,-4.41154,-2.83688,3.54292,-1.65015,-2.86838,1.19149,-1.20563,5.17222,2.58891,0.7769,3.79606,-1.55202,0.03122,2.56944,1.71268,0.30105,2.37574,-1.49573,1.82112,0.98098,4.69725,-6.42688,-22.0969,3.06434,-0.63622,0.29796,-3.84299,-4.60133,0.22738,1.69806,9.46394,0.6546,-3.64728,0.30848,5.66376,-2.63158,4.34052,3.61742,0.19091,3.45863,-1.05481,-7.85718,3.83815,1.33821,1.29505,-3.10078,3.36716,1.28798,2.13834,-4.2332,-2.77038,2.3379,-4.45595,6.2142,-0.59796,-3.85114,2.61633,1.12912,4.74818,3.23209,0.47186,3.54716,0.62371,-2.26917,-0.61769,-2.79134,2.0894,3.67388,1.47936,4.46378,0.1839,-0.62628,-2.3199,0.06253,5.47068,-1.78933,0.30365,-0.8109,-3.98954,4.52997
Vanguard Global Infrastructure Index,VAN0023AU,16241,VAN0023AU,Unhedged,Infrastructure,Infrastructure-Unhedged,5.43629,-1.77975,0.38631,-1.31796,1.49337,-4.38661,7.43012,-1.92114,-0.18655,2.83099,-4.73752,-2.78418,2.60896,0.54216,-0.74145,1.66497,4.98849,2.0011,-0.50639,-2.11455,0.33812,-1.68973,0.3447,4.8855,-2.79371,1.9857,1.79016,3.62917,4.0556,-4.02435,-2.71888,2.69007,0.19508,3.5962,3.42873,-4.73332,-4.28019,-1.18922,3.42619,3.752,0.58256,4.45249,1.94249,2.43859,0.12938,-0.12337,0.41645,-1.91809,4.13856,5.88085,2.93005,1.90704,0.58045,1.76978,1.65572,3.48266,1.75938,-1.89888,1.13878,-0.15981,8.68549,-5.04708,-7.64127,-0.31441,3.07766,-6.29811,-0.3646,-2.16428,2.46979,1.17679,1.19828,-3.65449,-0.69615,-1.98634,9.83035,1.82864,0.70998,1.37716,3.81349,2.37157,-3.55576,2.39749,2.43345,4.69747,-0.4778,-3.58628,4.66692,0.37153,0.86963,-1.7094,4.63607,-0.66377,-6.23654,3.64823,2.86286,-3.53135,-2.48163,-0.84061,3.39093,3.06613,-3.41665,0.63996,0.68157,-1.50346,-4.84296,1.66494,2.87285,0.7052,0.51776,2.07646,3.3194,-2.00089,2.57902,-3.38801,9.98544,0.16696,0.09421,3.74126,4.68629,-2.41611
First Sentier Global Listed Infras UnHdg,PIM8891AU,44636,PIM8891AU,Unhedged,Infrastructure,Infrastructure-Unhedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20154,0.36729,3.08443,3.34714,-3.72127,-0.05097,0.82227,-2.77027,-4.07401,0.5705,3.72771,0.83333,-0.61123,2.20009,2.66972,-0.76771,2.67865,-3.58098,9.47189,-0.53788,0.12361,2.51543,3.75583,-1.58868
First Sentier Responsible Listed Infras,PIM0541AU,44257,PIM0541AU,Unhedged,Infrastructure,Infrastructure-Unhedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.30733,0.3751,1.7372,5.22188,-2.46947,-3.66492,3.15016,1.03425,0.0676,-1.4283,3.33749,-0.32636,-7.33906,2.83481,2.85801,-3.4092,-2.45843,-0.24054,3.54335,2.41976,-3.40055,0.3684,0.87882,-2.89633,-5.84949,2.51875,3.46145,2.21636,-1.56324,0.80551,2.70213,-1.2285,3.9801,-5.13357,9.50648,-0.55947,0.22311,0.95819,2.51174,-2.94585
Ausbil Global Essential Infras - Unhdg,AAP3254AU,43377,AAP3254AU,Unhedged,Infrastructure,Infrastructure-Unhedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11286,4.41102,3.26041,0.88432,1.86213,3.68215,0.99107,4.42936,1.19523,-0.76254,1.2298,0.59011,8.0075,-4.43798,-10.98975,0.92246,2.85443,-4.78023,0.16658,-3.20586,0.24976,0.08193,4.80836,-3.06905,-1.47132,-4.0124,7.00317,2.98399,0.92859,2.50407,5.37488,2.71215,-2.65241,-0.70836,2.16701,4.69972,-2.88432,-0.16517,3.2452,1.38739,0.71044,-2.36745,5.32457,-2.15899,-6.94173,5.5619,3.47321,-3.9777,1.27296,-0.16378,3.37719,4.98352,-4.06527,-0.70225,-0.33274,-2.55982,-6.14788,1.67168,4.80591,0.27344,-0.09378,-1.5259,3.05395,-3.25858,3.43514,-4.06667,9.50474,0.54944,1.67499,4.55389,5.06383,-1.33713
ATLAS Infrastructure Aust Fdr Fd - Unhdg,PIM6769AU,41987,PIM6769AU,Unhedged,Infrastructure,Infrastructure-Unhedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51646,-2.84182,-2.08232,-0.74184,4.88291,3.64846,-1.00834,3.97259,0.52316,1.7692,0.65302,-0.66632,-1.12092,2.77604,3.93165,4.40362,2.00048,2.65438,0.07673,4.34716,0.22988,0.70695,2.1503,0.23148,2.98066,0.8087,6.36665,-3.99258,-12.38621,-0.14956,1.82105,-4.268,1.73203,-1.78285,-0.09812,2.49632,5.97301,-1.32604,-2.57227,-2.95924,5.6962,1.532,1.40931,0.46073,3.15982,2.9577,1.12037,-0.98722,1.71437,4.55571,-0.50733,-1.00664,3.74931,3.10041,1.92718,-4.31445,-0.84981,-0.99567,-9.51588,10.37866,4.48611,-3.23674,5.8326,0.55639,4.03593,6.43224,-3.34509,-0.50484,0.41561,-1.00289,-6.98097,0.43284,2.89865,2.1347,1.32202,-0.53852,2.5685,-2.00206,2.59476,-5.71136,10.17192,-0.81763,0.85657,-1.0728,1.23289,-2.56966
4D Global Infrastructure Fund (Unhedged),BFL0019AU,41388,BFL0019AU,Unhedged,Infrastructure,Infrastructure-Unhedged,,,,,,,,,,,,,,,,3.40998,3.06199,-1.17013,2.87336,-0.44212,-2.6373,-2.34571,-4.89944,5.14944,-2.57712,3.97286,5.91128,3.50063,4.37446,-1.01677,-0.83179,2.62645,0.39627,3.50797,2.18014,-1.55809,-0.83907,-2.45869,0.85801,3.02907,-2.88484,2.73022,1.37545,-0.73361,0.2001,-0.96964,-1.1557,1.53938,7.51988,2.77965,2.07197,3.16239,0.95968,3.13704,0.86909,1.25509,2.22218,0.05909,0.8662,1.34019,5.1101,-2.94387,-16.56095,2.2145,4.98373,-2.03874,-1.7813,-2.14672,-1.9413,0.82817,9.75666,-0.7522,-2.98602,-1.2661,6.37482,2.38278,2.91348,0.54645,2.06088,1.65482,-2.51284,-1.42521,0.37803,2.92819,1.02973,-1.75819,1.93418,1.64835,2.32558,-5.82924,2.28644,-1.08439,-6.57817,5.19719,3.58163,-2.25362,4.3317,0.96606,4.49354,5.05031,-2.96953,2.25946,0.86359,-2.20078,-4.0947,-1.62801,7.53267,1.92977,-0.61372,0.40562,1.76382,-1.78391,2.75474,-4.91398,7.19574,0.27416,1.2477,0.63492,-0.62518,-0.28858
Macquarie True Index Global Infra Secs,MAQ0831AU,40376,MAQ0831AU,Unhedged,Infrastructure,Infrastructure-Unhedged,7.01936,0.00644,1.41201,-0.64339,1.82727,-4.70812,7.88177,-1.14916,0.10797,2.87552,-4.9725,-1.63717,2.89491,0.41768,-0.09282,1.71664,4.75191,1.34363,0.04491,-1.96768,0.08999,-2.0178,-1.22935,4.98228,-3.10225,2.23092,3.22484,3.84443,4.56473,-3.73375,-1.63192,2.78448,-1.06182,3.8058,3.36656,-4.62624,-3.44754,-2.01402,2.8046,3.8077,-0.77185,4.70763,1.21289,1.51885,-0.89406,-0.03486,-0.04881,-0.6662,4.02116,5.38488,3.10845,1.72338,0.74198,2.83586,1.3304,3.34427,1.47709,-1.46115,0.47016,-0.05847,7.95948,-5.55742,-11.73048,1.42442,2.98855,-6.05405,-1.06173,-2.07963,2.29128,1.1583,2.936,-3.70988,-1.80817,-1.57624,8.49257,2.73337,-0.2223,1.54892,4.18284,2.34547,-1.94648,0.00692,2.00637,4.91725,-0.34364,-3.20863,4.03862,1.95328,1.61034,-2.25345,3.21224,-0.43279,-6.59785,4.05805,3.14628,-3.49189,-0.22026,-0.32778,3.10942,3.90952,-3.44155,-0.30082,0.32899,-1.65295,-4.61444,0.75953,3.84014,0.59012,0.18463,1.66542,3.372,-1.88938,3.2918,-3.11548,8.75321,0.42852,0.35212,3.50062,4.04071,-1.29872
Macquarie Int Infrastructure Secs Unhdgd,MAQ0825AU,40378,MAQ0825AU,Unhedged,Infrastructure,Infrastructure-Unhedged,5.61702,-0.26591,1.52703,1.00784,0.56224,-4.16883,5.56832,-1.53215,-3.20551,4.09011,-5.5334,-2.74908,0.92928,-0.11969,0.39639,3.50051,4.84562,-0.01932,0.07154,-0.46466,0,-3.42212,-1.37435,4.48384,-2.35444,1.99065,4.35261,2.8965,4.03364,-2.5604,-1.05901,1.64005,0.23779,2.77707,2.01409,-3.53429,-2.55737,-3.11115,2.78949,4.02773,-1.22311,4.84198,0.2809,0.80638,-1.65881,-1.05037,-1.77499,0.81495,4.47999,4.22023,3.22162,0.82174,0.41536,3.82746,0.16096,2.29568,1.63824,-0.33277,1.12034,0.99053,6.41157,-5.39391,-13.93443,2.55193,1.62037,-3.7111,-0.60235,-1.67372,-0.35218,1.44326,6.46073,-2.71854,-1.5628,0.00962,7.22532,2.75395,0.86116,1.06289,3.93488,1.49091,-1.08938,-1.38481,1.18298,3.928,2.67784,-0.64209,2.62486,1.80567,1.52795,-3.94292,3.20462,-0.41287,-5.42408,8.84191,4.33204,-3.21327,0.58883,1.27948,4.24408,4.83473,-3.99635,-0.24627,0.04283,-1.40423,-4.76769,0.6975,4.00109,0.27167,0.31657,0.92917,3.70853,-0.83397,2.0897,-3.13148,8.34876,0.00854,1.1617,2.07254,3.82791,0.56103
Maple-Brown Abbott Global Listed Infras,MPL0006AU,19900,MPL0006AU,Unhedged,Infrastructure,Infrastructure-Unhedged,7.00046,-1.05843,1.96434,-0.11112,1.6439,-3.82441,5.81459,-1.67033,-1.07287,4.49613,-3.4695,-0.47665,1.54387,1.86682,0.07557,4.09727,5.97396,0.328,0.39819,-0.3315,0.3326,-2.31644,-1.21921,5.39373,-4.38803,1.36758,4.67335,3.66737,3.62776,-3.53416,-1.51084,1.77592,-0.82319,1.23471,1.88756,-3.63678,-3.00506,-2.55215,2.64417,2.65984,-2.17012,4.53617,-0.11941,1.64983,-1.67598,0.33093,-4.54573,0.73506,5.93071,4.21826,1.52919,2.38739,0.09899,3.94351,0.4639,1.76742,2.034,-1.31525,1.48896,1.50303,5.60268,-4.59355,-9.43282,-0.08397,2.11216,-5.42742,-0.22088,-3.7283,0.61721,1.94821,3.95252,-3.66522,-2.06272,-1.9905,8.5709,3.57287,0.70548,1.37717,3.68513,2.33964,-2.76907,-0.32933,2.07845,4.9859,1.48933,-1.41331,2.98202,3.06086,1.02625,-3.55757,4.54022,-1.77328,-6.66021,5.47163,3.52623,-2.42,1.30086,1.23299,4.86683,5.53995,-4.46912,-0.88857,0.78007,-1.53373,-4.62674,1.45295,5.93622,-1.4323,-0.09737,1.53381,1.64705,-1.91318,2.51069,-3.14791,9.77379,0.31104,1.57461,1.84999,2.18813,-1.25714
Magellan Infrastructure (Unhedged),MGE0006AU,19879,MGE0006AU,Unhedged,Infrastructure,Infrastructure-Unhedged,7.18777,-1.52125,2.0435,-0.13577,1.93733,-4.32489,7.16273,-0.66573,2.09771,2.74386,-2.94531,0.77019,3.17984,0.36445,-0.19749,1.51283,3.23838,-0.79608,-0.65272,-1.95828,0.03253,-3.5122,-1.82002,4.52455,-3.65644,3.19127,4.11679,4.04344,5.41503,-3.95457,-1.82154,3.22256,-1.07927,3.6553,3.83563,-2.99525,-2.47348,-1.85174,3.59278,3.14961,-1.81808,3.86373,0.53519,1.6144,-0.92819,-0.31613,-0.36326,-0.08681,4.18182,4.81338,2.48684,1.29448,1.42798,4.12161,1.25065,3.31628,0.8498,-1.15562,1.21298,-0.65938,6.41101,-6.47293,-9.10438,-0.53804,2.63374,-3.72145,-1.17387,-2.81747,1.21634,-0.38502,2.89295,-3.90438,-2.23596,-2.90071,8.55356,2.97542,0.00571,1.31902,4.84308,1.84555,-3.41926,0.11168,1.8407,5.44419,-0.46603,-3.73504,3.49859,2.40842,0.32852,-1.96985,2.75646,-0.99937,-8.00128,5.35921,3.67792,-3.33598,1.85196,0.27384,3.17876,5.06061,-3.71341,-0.81109,0.27431,-2.55324,-4.299,1.1561,5.39603,0.38843,1.28873,1.3373,2.01955,-3.29406,1.46215,-3.09031,8.76581,0.05687,0.70783,2.1496,2.88283,-0.96168
ClearBridge RARE Infrstrctr Val Unhdgd,TGP0034AU,19109,TGP0034AU,Unhedged,Infrastructure,Infrastructure-Unhedged,5.53663,2.67802,-0.20732,0.71565,1.23841,-3.62299,5.76023,-2.25325,-1.4708,3.59186,-3.74694,-3.23916,-0.55311,-0.28952,-0.10698,3.097,3.52835,-0.67322,1.15048,-0.62178,-0.99191,-2.52408,-1.25886,5.00282,-2.70038,2.37427,4.39552,3.48979,5.3085,-3.64958,-1.7142,3.30048,-0.31042,0.32642,2.58734,-3.70007,-1.863,-2.94575,1.59346,2.99571,-1.04175,4.61513,1.25162,1.7285,-1.00184,-1.83576,-0.9267,-0.51403,4.78723,5.15802,1.86858,2.54792,-1.17772,3.25235,-0.46062,2.86904,2.05428,0.05965,2.09389,0.67878,7.70193,-5.1226,-10.98553,0.24865,2.82761,-3.49763,0.82831,-2.41474,1.22449,2.34666,5.91011,-1.99297,-2.73906,-2.62456,6.16069,2.73571,1.08575,1.5114,4.47055,2.61887,-2.83886,1.41643,1.3589,4.53597,-0.58034,-2.40058,3.24462,1.98384,1.04467,-2.88713,5.16741,-1.0612,-5.14987,5.93926,1.76647,-3.56723,-0.43712,-0.04704,3.71794,4.74739,-2.66987,0.11899,0.21695,-1.41116,-4.19649,2.32058,3.62033,0.24319,1.16582,1.3458,1.22455,-2.69716,3.44464,-4.21772,8.35799,-0.69018,1.90927,3.26802,2.52729,-0.77879
